Loyalty Number,R,F,M,E,T
480934,1.0,0.27868852459016397,0.026836946124118292,0.0131654264453348,0.0
549612,1.0,0.5081967213114754,0.02684344407360047,0.0217788355102944,0.0
429460,1.0,0.26229508196721313,0.026845379633020694,0.0162913272640153,0.0
608370,0.9861111111111112,0.3770491803278689,0.026845379633020694,0.0264131331967839,0.0
530508,1.0,0.18032786885245902,0.026887408923288385,0.0,0.0
193662,1.0,0.7377049180327869,0.026912018178774075,0.0112504610844706,0.0
927943,1.0,0.26229508196721313,0.02709700235764962,0.0541213350543979,0.0
188893,1.0,0.3770491803278689,0.027145944360132387,0.0079081330649934,0.0
852392,0.9722222222222222,0.29508196721311475,0.027145944360132387,0.0150226244343891,0.0
866307,1.0,0.3770491803278689,0.027145944360132387,0.0375688644037675,0.0
932823,1.0,0.36065573770491804,0.027171106632595282,0.0113768495930325,0.0
144514,0.9861111111111112,0.1639344262295082,0.027191430006507623,0.0,0.0
988178,1.0,0.5409836065573771,0.027278391926173335,0.0147049269085002,0.0
286114,1.0,0.18032786885245902,0.027294291164268014,0.0727943014246438,0.0
205785,1.0,0.42622950819672134,0.02731406152120315,0.0310110663983903,0.0
735304,0.9861111111111112,0.09836065573770492,0.02731406152120315,0.0618011791014433,0.0
438936,1.0,0.42622950819672134,0.027384847694285574,0.0,0.0
354730,1.0,0.3278688524590164,0.02747733978372335,0.0,0.0
413741,1.0,0.36065573770491804,0.02747733978372335,0.0331967792061025,0.0
642313,1.0,0.27868852459016397,0.02747733978372335,0.0698386199220923,0.0
263080,0.9861111111111112,0.22950819672131148,0.027491718225130718,0.0,0.0
109767,1.0,0.29508196721311475,0.027493792038795244,0.0399874930516953,0.0
217754,0.9583333333333334,0.3278688524590164,0.02750305507316345,0.0,0.0
157005,1.0,0.45901639344262296,0.027552135329890516,0.0,0.0
608758,1.0,0.19672131147540983,0.027553379618089235,0.0,0.0
599341,1.0,0.5245901639344263,0.027561398364258728,0.0171997480403135,0.0
333502,1.0,0.22950819672131148,0.027561951381235933,0.0,0.0
543918,1.0,0.4754098360655738,0.02763094024914244,0.0482457205293189,0.0
119200,1.0,0.11475409836065574,0.027730898067772503,0.0,0.0
238119,1.0,0.36065573770491804,0.027770577035887065,0.0,0.0
730388,1.0,0.3278688524590164,0.027775554188681925,0.0,0.0
127400,0.9861111111111112,0.1639344262295082,0.027881871702549854,0.0458015267175572,0.0
324557,1.0,0.26229508196721313,0.027881871702549854,0.0248996294008647,0.0
742002,0.9861111111111112,0.21311475409836067,0.027896803160934437,0.0,0.0
536567,1.0,0.29508196721311475,0.027946159926150106,0.0,0.0
704835,1.0,0.24590163934426232,0.027946159926150106,0.0454566910549917,0.0
612905,1.0,0.27868852459016397,0.027961920910000493,0.0212123471518043,0.0
679908,1.0,0.39344262295081966,0.027968971876459872,0.0135793695111426,0.0
704150,0.9861111111111112,0.29508196721311475,0.027968971876459872,0.0188409802837663,0.0
596179,0.9861111111111112,0.49180327868852464,0.028145799054921632,0.0,0.0
370450,0.9861111111111112,0.19672131147540983,0.028149808428006375,0.1089046493301812,0.0
501030,1.0,0.22950819672131148,0.028158241936908777,0.0,0.0
878633,0.9722222222222222,0.39344262295081966,0.028186998819723513,0.0,0.0
285938,1.0,0.3114754098360656,0.028217691261958472,0.0,0.0
588237,1.0,0.3770491803278689,0.028217691261958472,0.0409310840852621,0.0
645280,1.0,0.42622950819672134,0.028217691261958472,0.0283650826878794,0.0
124678,1.0,0.42622950819672134,0.028429635018472836,0.0071274500609584,0.0
